,Experiment,Experiment,Control,Control
202697_at,1423.8018,1444.8806,1274.1758,1127.0436
202706_s_at,704.7883,815.0576,916.1151,910.2549
202723_s_at,426.8553,428.0904,424.653,401.3712
202732_at,491.26224,453.7771,481.69586,416.3039
202787_s_at,160.77878,172.59105,167.39294,147.16046
202793_at,151.12668,172.92125,119.68291,113.41942
202799_at,614.1578,656.59674,526.04956,473.11758
202805_s_at,118.5366,125.556694,104.75688,121.35381
202812_at,190.12936,187.88165,104.43907,103.541824
202825_at,1308.7081,1396.6556,1077.5725,1018.37085
202848_s_at,150.03557,144.86679,129.51903,143.90962
202862_at,253.65376,239.47992,157.98291,177.63213
202954_at,2554.8252,2967.6902,2580.6504,2393.5298
202962_at,125.378456,110.997475,78.72526,74.45853
202985_s_at,834.6164,864.70166,956.31775,823.7451
202990_at,679.0843,613.3946,415.97958,462.9561
203010_at,110.25931,106.40132,67.66393,59.290558
203012_x_at,8695.658,9214.372,8840.322,9127.65
203025_at,493.63828,495.64395,422.47748,409.23032
203034_s_at,11155.761,12208.673,11306.343,12012.47
203068_at,221.1703,234.5917,211.57379,185.07579
203081_at,115.96464,124.28042,96.73256,91.58581
203097_s_at,1713.7114,1492.3293,1456.7141,1491.6824
203107_x_at,10097.49,10515.372,9694.863,10363.789
203119_at,390.72278,463.34735,472.4163,482.50946
203150_at,600.02625,625.0961,544.3315,456.2507
203151_at,53.53957,55.6443,65.911514,61.1134
203166_at,1161.9622,1304.2888,841.8991,925.07587
203168_at,109.33132,110.48979,82.49331,79.884636
203181_x_at,746.8081,749.7666,545.51483,601.6213
203187_at,128.58661,117.80233,94.087555,91.50391
203190_at,1463.689,1550.2075,1015.2017,999.0022
203229_s_at,445.61884,486.63934,417.26956,386.2404
203238_s_at,219.57155,194.25772,191.45995,176.49428
203244_at,419.53003,393.6117,325.4772,310.5779
203249_at,151.59859,138.87874,82.93126,75.66378
203267_s_at,211.17242,218.92131,163.10596,180.93643
203268_s_at,188.27814,183.53748,161.99127,161.18422
203277_at,657.9267,627.7575,383.37592,386.06604
203311_s_at,381.67365,345.02527,335.3628,335.08603
203364_s_at,281.65195,266.09113,250.07045,245.86586
203383_s_at,125.61489,134.42683,103.88345,88.96852
203390_s_at,227.27689,253.88602,190.97462,215.56055
203408_s_at,600.4901,548.3323,372.84442,317.55707
203423_at,456.09573,443.88925,249.33337,194.79175
203450_at,330.5367,304.73764,287.97482,245.22488
203522_at,241.72238,278.42194,215.79729,205.89919
203530_s_at,372.3171,359.8857,248.50653,209.49037
203532_x_at,99.55422,100.393486,100.76658,90.27654
203565_s_at,534.7997,531.5979,464.9923,393.68692
203585_at,264.49194,250.57523,67.74487,61.236576
203600_s_at,336.3114,324.28656,325.69327,313.86194
203602_s_at,159.08305,156.97662,96.93681,92.52282
203667_at,8100.3228,7912.4995,8073.1245,6774.4507
203678_at,483.38293,435.2229,386.08746,354.78668
203720_s_at,325.89572,354.03464,257.65646,217.95207
203771_s_at,248.59969,260.49866,162.93542,142.97578
203805_s_at,130.61414,127.2651,109.562874,119.00913
203826_s_at,72.68072,79.27995,52.225765,51.21515
203829_at,343.7168,339.29443,202.2777,167.79843
203833_s_at,120.743645,112.142685,127.869255,122.78768
203834_s_at,87.53815,78.12437,87.2422,88.91717
203847_s_at,266.44684,290.8183,276.82495,279.88397
203859_s_at,71.37197,79.16029,66.494865,71.46455
203880_at,1547.6948,1558.7795,1207.776,1040.2356
203916_at,112.56874,123.58582,115.57877,105.816055
203933_at,246.52588,267.40283,170.3321,198.0503
203951_at,301.56302,301.80792,379.5361,398.76282
203955_at,299.94275,330.97266,225.53474,244.19325
203976_s_at,451.5419,518.49817,492.26575,482.3886
204000_at,293.57825,289.439,152.34082,137.9713
204003_s_at,246.54576,270.9089,246.13922,257.3535
204042_at,402.80435,432.61588,337.77518,332.26932
204074_s_at,176.18654,167.91922,146.90523,124.12171
204102_s_at,9179.209,9903.061,8436.567,7585.3496
204139_x_at,78.00833,83.68879,73.07739,65.29729
204141_at,7849.801,7650.2383,7061.033,6544.9243
204154_at,839.40625,893.8118,415.62473,330.9836
204167_at,39.960197,45.01351,67.35044,69.08888
204248_at,190.65335,173.30077,194.51875,212.07843
204249_s_at,112.431946,102.6491,46.64471,45.844486
204262_s_at,154.41586,160.45299,105.81473,103.03565
204267_x_at,266.8468,260.08932,254.20752,249.94089
204402_at,228.083,252.36711,210.94598,183.88881
204416_x_at,742.1482,805.27167,454.1165,475.56772
204432_at,171.09966,189.36842,102.78847,101.67811
204465_s_at,332.9454,319.92807,197.62756,183.11417
204471_at,590.6039,641.5252,359.1022,367.23053
204538_x_at,789.27484,793.1939,530.1216,520.46277
204632_at,84.34644,81.11386,61.481197,60.041256
204671_s_at,145.12927,144.88072,85.00359,91.29202
204694_at,362.9622,283.5387,720.64215,738.5999
204730_at,269.21725,242.52809,85.96377,81.228874
204740_at,89.78992,88.73288,65.76278,62.14259
204752_x_at,932.7927,918.38885,789.0656,810.643
204788_s_at,351.29474,357.9679,233.97679,187.81268
204813_at,123.840195,132.6502,53.215942,61.20592
204819_at,290.74066,294.45752,190.11824,207.03972
204862_s_at,651.0736,631.72675,521.07794,452.37842
204872_at,747.3904,759.0175,558.6652,480.78574
204883_s_at,375.6662,405.92078,310.35895,272.8923
204892_x_at,10519.78,10567.886,11638.516,12633.106
204992_s_at,4010.651,4319.0293,3218.8687,3057.9216
205044_at,86.25942,79.6999,54.515488,53.700207
205060_at,487.80685,457.41034,348.2612,320.1117
205083_at,103.6043,100.82411,51.004955,51.31507
205250_s_at,208.80504,229.02505,185.22891,166.66699
205251_at,188.27048,187.17976,153.78368,126.21914
205268_s_at,888.2992,931.2623,654.6214,534.222
205281_s_at,348.65073,321.2426,312.88522,338.4298
205315_s_at,292.82837,287.42615,270.28412,228.3707
205370_x_at,1673.8105,1617.6761,1093.9053,950.7482
205423_at,207.59729,189.52034,153.04666,163.23965
205428_s_at,57.417065,54.70429,35.951694,34.205956
205437_at,154.84087,143.43561,91.57724,107.43766
205486_at,233.95537,240.02487,158.94147,135.98935
205510_s_at,81.396736,83.61497,60.617054,58.821613
205547_s_at,1354.5625,1397.4203,2697.3027,2830.4316
205598_at,86.833015,94.20848,68.43444,75.833145
205637_s_at,504.06088,533.3317,619.8441,587.5945
205652_s_at,87.144966,92.17879,55.70679,52.198067
205742_at,361.25504,383.04407,197.05176,167.2465
205748_s_at,277.55383,254.07338,180.82535,207.6705
205794_s_at,116.1415,127.95064,159.94643,148.07748
205891_at,133.2403,121.10555,93.75537,107.57929
205977_s_at,614.5919,588.1343,398.44507,420.7192
206066_s_at,135.77988,126.98955,68.74049,77.27318
206109_at,160.1187,162.89761,84.68509,87.31351
206116_s_at,4881.3584,5250.7847,5951.807,5222.386
206214_at,100.54684,101.42309,27.348736,26.483435
206286_s_at,9919.06,9823.173,9340.458,9436.753
206335_at,200.56491,171.2874,198.93518,188.82562
206351_s_at,68.13267,62.693954,54.053413,58.935925
206412_at,159.9881,189.05511,170.04648,171.23413
206431_x_at,179.62822,158.03883,132.25017,142.46599
206445_s_at,5378.5,4828.729,3952.031,3438.9448
206468_s_at,300.13077,326.10345,294.48535,279.16223
206469_x_at,130.10257,134.99808,102.69414,114.6131
206472_s_at,160.13739,162.5886,106.82205,110.02268
206493_at,98.6188,97.07462,49.956814,44.622654
206559_x_at,9339.075,9749.064,10126.3,10893.101
206592_s_at,1371.6853,1395.3535,1307.4336,1093.5402
206595_at,104.77451,102.36308,56.945637,58.60251
206646_at,194.78987,198.78743,107.196815,107.61265
206722_s_at,142.57321,147.27301,92.23364,90.7482
206756_at,281.51718,266.23206,325.41824,333.96378
206789_s_at,465.35208,526.2227,343.2781,347.2759
206918_s_at,619.83344,687.8395,447.53174,439.97702
207088_s_at,516.89764,506.92688,474.60202,465.29025
207121_s_at,3608.5737,3560.163,3057.4365,2507.5698
207124_s_at,194.82065,186.35382,117.43818,96.14425
207132_x_at,2433.779,2771.2393,2198.3267,2132.639
207170_s_at,489.6354,450.88602,350.58673,321.50134
207223_s_at,102.0888,98.64051,80.53273,85.54655
207243_s_at,7680.5396,8500.424,8518.666,8219.545
207292_s_at,108.06738,109.45255,112.52135,112.2674
207350_s_at,106.852135,109.493835,62.718784,58.766834
207524_at,62.347416,58.868076,60.25801,57.34181
207555_s_at,60.161377,61.544933,64.58624,73.03101
207573_x_at,6690.782,6161.861,5623.347,5738.9204
207616_s_at,187.39543,164.79468,159.81253,159.35207
207618_s_at,288.30853,302.18283,263.56607,222.98012
207625_s_at,156.3212,142.43478,100.83547,87.25146
207783_x_at,10392.884,10645.08,10642.821,10106.318
207808_s_at,142.83139,131.98734,63.122818,69.39408
207937_x_at,306.24167,336.26984,224.67155,191.14891
208009_s_at,145.12074,139.20999,96.30028,95.51846
208024_s_at,427.9563,412.60806,418.1999,356.3172
208117_s_at,778.6724,715.6254,572.5227,487.64438
208190_s_at,412.9041,468.38547,432.6496,435.69962
208238_x_at,425.02203,392.5814,285.22247,264.68942
208270_s_at,739.0981,691.4304,656.94366,604.1663
208351_s_at,156.7667,140.42673,112.5725,99.85655
208415_x_at,596.927,640.32495,618.3185,648.9377
208420_x_at,207.86148,213.34258,179.0984,157.36858
208598_s_at,1019.7242,1061.6901,786.78174,722.6648
208610_s_at,1772.0347,1795.9098,1406.8966,1323.4182
208620_at,4063.2263,4279.543,3578.541,3522.877
208627_s_at,6651.93,6127.7085,5675.2437,5938.351
208628_s_at,8810.989,8541.406,8359.503,8124.159
208630_at,676.39355,659.0336,526.57074,433.97266
208633_s_at,424.04907,415.57858,406.14648,372.28387
208635_x_at,11002.595,11148.345,10164.318,9186.711
208640_at,5221.5303,4772.4688,4250.8438,4014.5952
208645_s_at,10153.682,10157.192,9867.284,10529.332
208646_at,5819.7925,6321.929,5116.951,4885.61
208675_s_at,2916.8833,2768.0352,2510.7761,2218.918
208679_s_at,7432.061,6587.4175,6394.599,6046.3696
208685_x_at,1123.8312,1148.0369,969.8851,834.9127
208686_s_at,426.8694,439.4753,348.95508,384.92007
208692_at,8859.13,9824.329,9120.497,8211.1
208695_s_at,10691.899,11454.359,10820.15,10233.821
208705_s_at,4530.862,4863.4316,4575.6333,4314.997
208714_at,1518.3391,1414.1227,952.51025,968.9117
208718_at,4851.971,5035.42,4886.2075,4230.741
208724_s_at,6832.5474,6197.691,5966.8477,5857.93
208746_x_at,7422.2715,7234.1133,6562.904,6818.592
208755_x_at,9987.901,10458.5625,10353.709,10227.16
